Date,AAPL,AJG,AVB,DLR,ICE,INCY,KHC,LLY,MCHP,MDT,MOH,NDAQ,PRU,STLD,TER
2019-12-31,73.4124984741211,95.2300033569336,209.6999969482422,119.73999786376953,92.55000305175781,87.31999969482422,32.130001068115234,131.42999267578125,52.36000061035156,113.44999694824219,135.69000244140625,35.70000076293945,93.73999786376953,34.040000915527344,68.19000244140625
2020-01-02,75.0875015258789,95.51000213623047,207.24000549316406,118.0,92.66999816894531,85.97000122070312,31.610000610351562,132.2100067138672,53.79999923706055,114.55999755859375,133.3699951171875,35.939998626708984,94.83999633789062,33.79999923706055,69.68000030517578
2020-01-03,74.35749816894531,95.30999755859375,209.22999572753906,119.94000244140625,94.66999816894531,77.9000015258789,31.239999771118164,131.77000427246094,52.619998931884766,113.87999725341797,132.5399932861328,36.09333419799805,93.26000213623047,33.20000076293945,68.2300033569336
2020-01-06,74.94999694824219,95.75,209.5800018310547,118.86000061035156,94.69999694824219,77.33999633789062,31.309999465942383,132.25999450683594,51.8650016784668,114.88999938964844,137.35000610351562,36.06999969482422,93.48999786376953,33.099998474121094,66.75
2020-01-07,74.59750366210938,94.72000122070312,205.02000427246094,117.69000244140625,94.43000030517578,77.13999938964844,30.760000228881836,132.50999450683594,55.345001220703125,114.48999786376953,139.25999450683594,35.473331451416016,93.38999938964844,33.83000183105469,68.22000122070312
2020-01-08,75.79750061035156,94.8499984741211,205.8699951171875,118.70999908447266,93.5999984741211,76.52999877929688,30.59000015258789,133.7100067138672,54.64500045776367,116.5,143.77999877929688,35.276668548583984,93.98999786376953,33.86000061035156,68.30000305175781
2020-01-09,77.40750122070312,95.77999877929688,206.35000610351562,118.72000122070312,94.43000030517578,77.94999694824219,30.579999923706055,135.9199981689453,55.15999984741211,118.38999938964844,143.42999267578125,35.78333282470703,94.69999694824219,33.540000915527344,68.26000213623047
2020-01-10,77.5824966430664,95.44000244140625,208.4499969482422,120.37000274658203,94.25,76.47000122070312,30.700000762939453,138.0,55.415000915527344,118.63999938964844,143.35000610351562,35.61333465576172,94.41000366210938,32.689998626708984,67.93000030517578
2020-01-13,79.23999786376953,95.37000274658203,211.02000427246094,121.97000122070312,95.02999877929688,77.0999984741211,31.15999984741211,138.94000244140625,55.60499954223633,118.01000213623047,139.77000427246094,35.6966667175293,95.06999969482422,33.25,69.2699966430664
2020-01-14,78.16999816894531,95.08999633789062,209.50999450683594,120.75,93.7699966430664,81.47000122070312,31.729999542236328,140.64999389648438,55.060001373291016,117.04000091552734,131.85000610351562,35.516666412353516,94.93000030517578,33.61000061035156,70.2699966430664
2020-01-15,77.83499908447266,95.80999755859375,211.89999389648438,120.98999786376953,95.7699966430664,80.54000091552734,31.600000381469727,141.11000061035156,53.790000915527344,117.33000183105469,138.9499969482422,35.95333480834961,94.31999969482422,33.029998779296875,69.1500015258789
2020-01-16,78.80999755859375,96.05000305175781,214.88999938964844,123.66999816894531,96.2699966430664,80.62000274658203,31.729999542236328,141.42999267578125,54.40999984741211,118.86000061035156,140.86000061035156,36.10333251953125,95.38999938964844,32.959999084472656,70.5
2020-01-17,79.68250274658203,96.44999694824219,216.07000732421875,124.44000244140625,96.7699966430664,80.5,31.030000686645508,139.5800018310547,54.70500183105469,119.02999877929688,136.82000732421875,36.436668395996094,97.0999984741211,33.209999084472656,70.29000091552734
2020-01-21,79.14250183105469,96.19000244140625,219.3000030517578,125.7300033569336,96.76000213623047,78.6500015258789,31.010000228881836,140.91000366210938,54.619998931884766,120.31999969482422,138.3800048828125,36.41666793823242,95.48999786376953,31.920000076293945,71.55000305175781
2020-01-22,79.42500305175781,96.2699966430664,216.63999938964844,126.27999877929688,96.43000030517578,78.4800033569336,30.670000076293945,141.55999755859375,54.67499923706055,121.08999633789062,137.75,36.380001068115234,95.94999694824219,32.06999969482422,73.58999633789062
2020-01-23,79.80750274658203,96.98999786376953,218.49000549316406,127.11000061035156,97.30000305175781,78.23999786376953,30.68000030517578,141.2100067138672,55.130001068115234,120.97000122070312,137.97000122070312,36.543331146240234,95.52999877929688,31.6299991607666,76.20999908447266
2020-01-24,79.57749938964844,96.86000061035156,219.3300018310547,128.25999450683594,97.11000061035156,76.73999786376953,30.40999984741211,139.07000732421875,53.61000061035156,119.26000213623047,134.57000732421875,36.73666763305664,93.5199966430664,30.75,72.0999984741211
2020-01-27,77.23750305175781,96.19000244140625,218.86000061035156,129.02000427246094,98.18000030517578,76.06999969482422,30.350000381469727,138.30999755859375,51.4900016784668,119.2300033569336,128.4499969482422,36.59333419799805,90.3499984741211,30.34000015258789,69.48999786376953
2020-01-28,79.42250061035156,98.37000274658203,219.27000427246094,129.82000732421875,98.94000244140625,76.45999908447266,30.1299991607666,139.25999450683594,52.099998474121094,119.18000030517578,131.3699951171875,37.04666519165039,92.0,30.700000762939453,71.1500015258789
2020-01-29,81.08499908447266,98.81999969482422,216.6199951171875,127.62999725341797,98.91000366210938,74.98999786376953,29.6200008392334,139.9199981689453,51.22999954223633,118.37000274658203,129.24000549316406,38.4466667175293,91.91000366210938,30.270000457763672,70.02999877929688
2020-01-30,80.96749877929688,100.19999694824219,218.00999450683594,125.73999786376953,100.16999816894531,73.13999938964844,29.940000534057617,142.6699981689453,50.779998779296875,118.1500015258789,126.75,38.6533317565918,93.11000061035156,30.450000762939453,68.8499984741211
