Date,Mkt_Prem,SMB,HML,RMW,CMA,RF
2020-05-01,-2.91,-0.9,-0.97,-0.36,0.36,0
2020-05-04,0.54,-0.13,-1.28,-0.75,-0.44,0
2020-05-05,0.95,-0.29,-2.01,-0.49,-0.52,0
2020-05-06,-0.52,0.1,-2.71,0.22,-0.57,0
2020-05-07,1.33,0.15,0.4,-0.11,-0.61,0
2020-05-08,1.9,1.89,2.46,0.84,0.42,0
2020-05-11,0.07,-0.22,-3.78,-0.85,-0.04,0
2020-05-12,-2.06,-1.13,-1.35,-0.64,-0.02,0
2020-05-13,-1.89,-1.43,-2.09,-0.08,-0.27,0
2020-05-14,1.14,-1.08,0.92,0.61,0.17,0
2020-05-15,0.57,1.34,-1.16,0.01,-0.77,0
2020-05-18,3.24,2.65,4.61,1.67,0.31,0
2020-05-19,-1.01,-0.75,-1.5,0.51,-0.59,0
2020-05-20,1.8,1.22,1.31,-0.25,-0.26,0
2020-05-21,-0.7,0.75,0.41,0.15,0.03,0
2020-05-22,0.27,0.25,-0.86,-0.55,-0.34,0
2020-05-26,1.23,1.24,4.56,1.04,0.58,0
2020-05-27,1.54,1.42,3.61,0.77,0.36,0
2020-05-28,-0.41,-2.08,-2.43,-0.25,0.09,0
2020-05-29,0.6,-0.79,-1.97,-0.32,-0.38,0
2020-06-01,0.52,0.26,0.42,-0.01,-0.14,0
2020-06-02,0.81,0.06,0.54,0.14,0.26,0
2020-06-03,1.42,0.77,2.63,0.74,0.16,0
2020-06-04,-0.34,0.51,2.89,0.99,0.63,0
2020-06-05,2.5,1.08,2.77,0.72,0.04,0
2020-06-08,1.39,0.68,2.09,-0.47,0.56,0
2020-06-09,-0.85,-0.79,-1.93,-0.04,-0.46,0
2020-06-10,-0.56,-1.8,-4.1,-0.32,-0.5,0
2020-06-11,-5.91,-1.47,-3.04,-0.21,-0.22,0
2020-06-12,1.29,0.79,1.83,0.15,0.09,0
2020-06-15,1.09,1.44,-0.39,-0.77,-0.23,0
2020-06-16,1.87,0.61,0.49,0.64,0.12,0
2020-06-17,-0.4,-1.32,-1.98,-0.55,-0.23,0
2020-06-18,0.19,0.01,-0.53,-0.4,-0.26,0
2020-06-19,-0.45,-0.13,-0.65,-0.73,-0.19,0
2020-06-22,0.71,0.47,-1.36,-0.38,-0.51,0
2020-06-23,0.42,0.22,-0.6,0.58,-0.09,0
2020-06-24,-2.61,-0.7,-1.36,-0.08,0.27,0
2020-06-25,1.12,0.34,0.51,-0.81,0.15,0
2020-06-26,-2.44,-0.2,-1.4,0,0.63,0
2020-06-29,1.51,1.48,1.84,1.48,0.36,0
2020-06-30,1.58,0,0.01,-0.4,-0.31,0
2020-07-01,0.41,-1.71,-2.58,-0.42,-1.22,0.001
2020-07-02,0.5,0.01,-0.13,0.41,0.15,0.001
2020-07-06,1.65,-0.67,0.34,0.26,0.02,0.001
2020-07-07,-1.03,-0.97,-1.5,-1.12,-0.07,0.001
2020-07-08,0.91,0.07,-0.46,-0.43,-0.26,0.001
